VAR;TENDANCE
PRIXTTC;0
MontantFinance;0
Mensualite;0
DUREE;0
Anc_CB;0
AgeClient;0
SommeMensCreditsConsoduclient;0
SommeMensCreditsImmoduclient;0
SFDM;0
FC;0
Age_Gerant;0
REVENU_Parts;0
Anc_Emploi;-1
Revenu;0
AutreRevenu;0
Nb_Gerant;0
CapitalPM;0
TypeVehiculeT;0
TypeVehiculeU;0
ville_BQ.EL.KEBAB;0
ville_BQAGADIR;0
ville_BQAGOURAI;0
ville_BQAHFIR;0
ville_BQAIN.BENI.MATHAR;0
ville_BQAIN.EL.AOUDA;0
ville_BQAIN.HARROUDA;0
ville_BQAIN.TAOUJDATE;0
ville_BQAIT.BAHA;0
ville_BQAIT.ISHAK;0
ville_BQAIT.MELLOUL;0
ville_BQAKLIM;0
ville_BQAL.AAOUAMRA;0
ville_BQAL.AAROUI;0
ville_BQAL.HOCEIMA;0
ville_BQALNIF;0
ville_BQAOULOUZ;0
ville_BQAOURIR;0
ville_BQASILAH;0
ville_BQASSA;0
ville_BQAZEMMOUR;0
ville_BQAZILAL;0
ville_BQAZROU;0
ville_BQBAB.BERRED;0
ville_BQBAB.TAZA;0
ville_BQBEN.AHMED;0
ville_BQBEN.GUERIR;0
ville_BQBEN.SLIMANE;0
ville_BQBEN.TIB;0
ville_BQBENI.ANSAR;0
ville_BQBENI.MELLAL;0
ville_BQBERKANE;0
ville_BQBERRECHID;0
ville_BQBIOUGRA;0
ville_BQBIR.JDID;0
ville_BQBNI.AHMED;0
ville_BQBNI.BOUAYACH;0
ville_BQBNI.BOUIFROUR;0
ville_BQBNI.HADIFA;0
ville_BQBNI.YAKHLAF;0
ville_BQBOUARFA;0
ville_BQBOUFAKRANE;0
ville_BQBOUJAD;0
ville_BQBOUJDOUR;0
ville_BQBOUMALEN.DADES;0
ville_BQBOUMIA;0
ville_BQBOUSKOURA;0
ville_BQBOUZNIKA;0
ville_BQBRADIA;0
ville_BQCASABLANCA;0
ville_BQCHEFCHAOUEN;0
ville_BQCHEMAIA;0
ville_BQCHICHAOUA;0
ville_BQDAKHLA;0
ville_BQDAR.BOUAZZA;0
ville_BQDAR.GUEDDARI;0
ville_BQDAR.KEBDANI;0
ville_BQDAR.OULD.ZIDOUH;0
ville_BQDCHEIRA.EL.JIHADIA;0
ville_BQDEMNATE;0
ville_BQDRIOUCH;0
ville_BQEL.AIOUN;0
ville_BQEL.BOROUJ;0
ville_BQEL.GARA;0
ville_BQEL.GUERDANE;0
ville_BQEL.HAJEB;0
ville_BQEL.JADIDA;0
ville_BQEL.KELAA.DES.SRARHNA;0
ville_BQEL.KELAA.M.GOUNA;0
ville_BQEL.KSIBA;0
ville_BQEL.MARSA;0
ville_BQERFOUD;0
ville_BQERRACHIDIA;0
ville_BQES.SEMARA;0
ville_BQESSAOUIRA;0
ville_BQFARKHANA;0
ville_BQFES;0
ville_BQFIGUIG;0
ville_BQFKIH.BEN.SALAH;0
ville_BQFNIDEK;0
ville_BQGUELMIM;0
ville_BQGUERCIF;0
ville_BQHAD.KOURT;0
ville_BQHARHOURA;0
ville_BQIFNI;0
ville_BQIFRANE;0
ville_BQIMI.N.TANOUTE;0
ville_BQINEZGANE;0
ville_BQJERADA;0
ville_BQJORF.EL.MELHA;0
ville_BQKARIA.BA.MOHAMED;0
ville_BQKASBA.TADLA;0
ville_BQKENITRA;0
ville_BQKHEMISSET;0
ville_BQKHENIFRA;0
ville_BQKHNICHET;0
ville_BQKHOURIBGA;0
ville_BQKSAR.EL.KEBIR;0
ville_BQLAATTAOUIA;0
ville_BQLAATTAOUIA..KHEMIS.ATTAOUIA.;0
ville_BQLAAYOUNE;0
ville_BQLALLA.MIMOUNA;0
ville_BQLAMJAARA;0
ville_BQLARACHE;0
ville_BQLOUALIDIA;0
ville_BQLOUDAYA;0
ville_BQLOULAD;0
ville_BQLQLIAA;0
ville_BQM.DIQ;0
ville_BQM.HAYA;0
ville_BQM.RIRT;0
ville_BQMARRAKECH;0
ville_BQMARTIL;0
ville_BQMASSA;0
ville_BQMECHRA.BEL.KSIRI;0
ville_BQMEDIOUNA;0
ville_BQMEKNES;0
ville_BQMIDAR;0
ville_BQMIDELT;0
ville_BQMISSOUR;0
ville_BQMOHAMMEDIA;0
ville_BQMOULAY.BOUAZZA;0
ville_BQMOULAY.BOUSELHAM;0
ville_BQNADOR;0
ville_BQNOUACEUR;0
ville_BQOUAOUIZARTH;0
ville_BQOUARZAZATE;0
ville_BQOUAZZANE;0
ville_BQOUED.AMLIL;0
ville_BQOUED.LAOU;0
ville_BQOUED.ZEM;0
ville_BQOUJDA;0
ville_BQOULAD.BERHIL;0
ville_BQOULAD.FREJ;0
ville_BQOULAD.TEIMA;0
ville_BQOULED.MBAREK;0
ville_BQOULED.YAICHE;0
ville_BQOULMES;0
ville_BQOUTAT.EL.HAJ;0
ville_BQRABAT;0
ville_BQRHAFSAI;0
ville_BQRICH;0
ville_BQRISSANI;0
ville_BQROMMANI;0
ville_BQSAFI;0
ville_BQSAIDIA;0
ville_BQSALE;0
ville_BQSEBT.OULAD.NEMMA;0
ville_BQSEFROU;0
ville_BQSELOUANE;0
ville_BQSETTAT;0
ville_BQSIDI.ALLAL.EL.BAHRAOUI;0
ville_BQSIDI.ALLAL.TAZI;0
ville_BQSIDI.BENNOUR;0
ville_BQSIDI.KACEM;0
ville_BQSIDI.RAHAL.CHATAI;0
ville_BQSIDI.SLIMANE;0
ville_BQSIDI.SMAIL;0
ville_BQSIDI.YAHIA.EL.RHARB;0
ville_BQSKHIRATE;0
ville_BQSOUALAM.TRIFIA;0
ville_BQSOUK.ARBAA.EL.RHARB;0
ville_BQSOUK.TLET.EL.GHARB;0
ville_BQTAFRAOUTE;0
ville_BQTAMSAMANE;0
ville_BQTAN.TAN;0
ville_BQTANGER;0
ville_BQTAOUNATE;0
ville_BQTAOURIRT;0
ville_BQTARGUIST;0
ville_BQTAROUDANNT;0
ville_BQTAZA;0
ville_BQTAZNAKHT;0
ville_BQTEMARA;0
ville_BQTEMSIA;0
ville_BQTETOUAN;0
ville_BQTIFLET;0
ville_BQTINEGHIR;0
ville_BQTISSA;0
ville_BQTIT.MELLIL;0
ville_BQTIZNIT;0
ville_BQYOUSSOUFIA;0
ville_BQZAGORA;0
ville_BQZAIO;0
ville_BQZAOUIAT.CHEIKH;0
ville_BQZEGANGANE;0
ville_BQZMAMRA;0
BanqueARAB.BANK;0
BanqueATTIJARIWAFA;0
BanqueBAM;0
BanqueBMAO;0
BanqueBMCE;0
BanqueBMCI;0
BanqueBP.AGADIR;0
BanqueBP.CASA;0
BanqueBP.EL.JADIDA;0
BanqueBP.FES;0
BanqueBP.KENITRA;0
BanqueBP.LAAYOUNE;0
BanqueBP.MARRAKECH;0
BanqueBP.MEKNES;0
BanqueBP.NADOR;0
BanqueBP.NORD;0
BanqueBP.OUJDA;0
BanqueBP.RABAT;0
BanqueCCP;0
BanqueCDM;0
BanqueCFG;0
BanqueCIH;0
BanqueCNCA;0
BanqueSGMB;0
BanqueTGR;0
BanqueUMB;0
BanqueWAFABANK;0
CodeProduitCA;0
CodeProduitCIM;0
CodeProduitDS;0
CodeProduitLOA;0
CodeProduitSD;0
CodeProduitSR;0
CodeProduitSW;0
AgenceSLF.SALON.2016;0
AgenceSLFAgence.Agadir;0
AgenceSLFAgence.Casa.Mohamed.V;0
AgenceSLFAgence.Casa.Normandie;0
AgenceSLFAgence.F.A.R;0
AgenceSLFAgence.Fes;0
AgenceSLFAgence.Internet;0
AgenceSLFAgence.Marrakech;0
AgenceSLFAgence.Rabat;0
AgenceSLFAgence.Salé;0
AgenceSLFAgence.Tanger;0
AgenceSLFDesk.ALI.YATA;0
AgenceSLFDesk.Beni.Mellal;0
AgenceSLFDesk.Côtière;0
AgenceSLFDesk.El.Jadida;0
AgenceSLFDesk.Fes;0
AgenceSLFDesk.Kénitra;0
AgenceSLFDesk.Meknes;0
AgenceSLFDesk.Mohammedia;0
AgenceSLFDesk.Nador;0
AgenceSLFDesk.Oujda;0
AgenceSLFDesk.Tétouan;0
AgenceSLFPlateforme.BMCE;0
AgenceSLFSiège;0
